IDKABKOT,mean,sd,ci_lower,ci_upper,rse_pct,mse,rmse
1674,0.029593986794974197,0.003646642005553537,0.02236938749985017,0.036591151217506,12.322239753694925,1.3297997916667525e-05,0.003646642005553537
1701,0.026826178485895164,0.0034843752760938813,0.020300421366659018,0.034007706758122924,12.988712790105076,1.2140871064654311e-05,0.0034843752760938813
1702,0.01670381670672255,0.0028010024539421472,0.011451513107550554,0.022315223747777505,16.768637390608266,7.845614746989931e-06,0.0028010024539421472
1703,0.04724480737800144,0.004547567400335938,0.03843650904620246,0.05620127200434157,9.625539086129109,2.0680369260598158e-05,0.004547567400335938
1704,0.011993676753184256,0.002390961676014994,0.007414716460617233,0.016685509876680542,19.9351852248328,5.71669773617243e-06,0.002390961676014994
1705,0.02784263335862199,0.003790287168734457,0.02055089062762544,0.03521185032178775,13.613249579931432,1.4366276821473065e-05,0.003790287168734457
1706,0.03859294247644985,0.004076908070193357,0.030558401672265832,0.046402669409389884,10.56386947608663,1.662117941280772e-05,0.004076908070193357
1707,0.021362235745480903,0.0034029026105452977,0.014630565896957118,0.027847640584954873,15.929524657854074,1.1579746176856003e-05,0.0034029026105452977
1708,0.05163898916706819,0.00504674049337225,0.04211506095831529,0.06170034764025577,9.773120223257035,2.5469589607443187e-05,0.00504674049337225
1709,0.03683778803200885,0.00434191469500814,0.028169583520015563,0.04516227303358253,11.786578203977372,1.8852223218727632e-05,0.00434191469500814
1771,0.04711293714037012,0.004369250769537369,0.038944108184221775,0.05600358554392554,9.273993588044517,1.9090352287102886e-05,0.004369250769537369
1801,0.021218706301195444,0.0032910461453892863,0.014953044348222696,0.027635673095029376,15.510116868924623,1.083098473108168e-05,0.0032910461453892863
1802,0.020315485316564047,0.0027729579465343404,0.01524818218840217,0.02586900499405486,13.649479219053823,7.689295773247945e-06,0.0027729579465343404
1803,0.025964216656476018,0.0030284341185988464,0.020241677775189496,0.03194621917969215,11.663876321273463,9.171413210693573e-06,0.0030284341185988464
1804,0.03593384994657128,0.0035750984470874674,0.028965196728688147,0.042948571489454426,9.949110525042961,1.2781328906367221e-05,0.0035750984470874674
1805,0.03493353561288417,0.0032692039378534295,0.028595920933109406,0.041389846286073874,9.358354030010302,1.068769438727637e-05,0.0032692039378534295
1806,0.01835539823354038,0.002607523244471406,0.013161965576750987,0.023248563278524346,14.205756863976621,6.799177470458688e-06,0.002607523244471406
1807,0.036189188574899236,0.0038213792016443884,0.02897517422274845,0.0440441733047746,10.55944980290299,1.4602939002760303e-05,0.0038213792016443884
1808,0.029804968583511032,0.0034543760397913723,0.0227584435375924,0.03631936002247305,11.589933504249466,1.1932713824284724e-05,0.0034543760397913723
1809,0.033262203972242145,0.003776314474866923,0.02633725035382254,0.040990204463927433,11.353169735890981,1.4260551013089445e-05,0.003776314474866923
1810,0.03855546747815767,0.003916493061271019,0.031188372433002487,0.04649862409312015,10.158074372953147,1.5338917898984032e-05,0.003916493061271019
1811,0.023348188479734227,0.0034391681713529416,0.01682445965477185,0.0302169613457677,14.729914375747278,1.1827877710847137e-05,0.0034391681713529416
1812,0.027663045405502126,0.003591213743418358,0.021091568577202992,0.03515982022377153,12.981989837981006,1.2896816150916896e-05,0.003591213743418358
1813,0.007618154019799787,0.0018315905956341162,0.00421290789084746,0.011268265217558904,24.04244638364836,3.3547241100153366e-06,0.0018315905956341162
1871,0.050073409307644534,0.0040305015280964075,0.04251310188010188,0.05809267034112135,8.049185353714442,1.6244942567987476e-05,0.0040305015280964075
1872,0.0331719236942041,0.004022115058573073,0.025641590200856518,0.04132066574105202,12.125058213840727,1.617740954440028e-05,0.004022115058573073
1901,0.0326657676722736,0.003799642462372027,0.02552616487749387,0.04028034356278673,11.631878670333922,1.4437282841860563e-05,0.003799642462372027
1902,0.017971022469969768,0.002953303109435046,0.012382434063228776,0.023979758520454218,16.43369549156217,8.721999256198711e-06,0.002953303109435046
1903,0.01761786899882989,0.0029281121524585736,0.01202008973992434,0.02328039433149696,16.620126717102092,8.57384077737558e-06,0.0029281121524585736
1904,0.024162343341579566,0.0034141361132591884,0.017827280484812264,0.031116117177938767,14.129987580236063,1.1656325399860558e-05,0.0034141361132591884
1905,0.0068597044541303855,0.0017297702290827656,0.003628155810501617,0.010198715378945301,25.21639584692649,2.9921050454210432e-06,0.0017297702290827656
1906,0.009735419337605982,0.002191420354275062,0.005797289791798838,0.014028353742323045,22.509768488451673,4.802323169131038e-06,0.002191420354275062
1971,0.03688654620466276,0.004215478415429012,0.02888119457500589,0.04501186707716122,11.428227495303265,1.7770258270947893e-05,0.004215478415429012
2101,0.01508812827484213,0.0025741944262356676,0.010201207034466966,0.02014674972812095,17.06105873004716,6.626476944062777e-06,0.0025741944262356676
2102,0.028425193956267584,0.003501034629621466,0.02162790249495217,0.03514467224455227,12.316660477349211,1.2257243477808717e-05,0.003501034629621466
2103,0.007166699524776717,0.0018269819720947893,0.0037908296562382897,0.010762246184977307,25.49265482358436,3.3378631263593653e-06,0.0018269819720947893
2104,0.005127453200330353,0.0015615464881092514,0.0022970455436197475,0.00817321326533442,30.45462195556741,2.4384274345263365e-06,0.0015615464881092514
2105,0.005994791175411602,0.0015999752362591694,0.0030231926899778982,0.00904871346826516,26.689424025672004,2.5599207566425848e-06,0.0015999752362591694
2171,0.042398358844443776,0.0036077634745340288,0.035527536524420124,0.04947647830705316,8.509205480737185,1.3015957288181847e-05,0.0036077634745340288
2172,0.02310121858262592,0.0032759205669034928,0.016551286194304952,0.029340480234667943,14.180726246914366,1.0731655560661302e-05,0.0032759205669034928
3101,0.014656441504431688,0.002670476912621181,0.009708942734395912,0.02008045917885605,18.220499920213957,7.131446940842754e-06,0.002670476912621181
3171,0.03900518483378616,0.0031217482675740863,0.03286764547449026,0.04497078762693203,8.003418727220177,9.745312246101809e-06,0.0031217482675740863
3172,0.017588701987030712,0.002062521489782558,0.013521777268124513,0.021492315368857224,11.726399658732001,4.2539948958148635e-06,0.002062521489782558
3173,0.026949643820650224,0.0033262779496840136,0.02025803089533716,0.03320630114880032,12.34256738909197,1.1064124998554084e-05,0.0033262779496840136
3174,0.030830702303237152,0.002834278492844988,0.02529477903156239,0.03632527375184243,9.193039019897368,8.033134575003655e-06,0.002834278492844988
3175,0.03813755883735748,0.0031753708002054738,0.03203805345233527,0.04447526654162381,8.326098725267789,1.008297971879755e-05,0.0031753708002054738
3201,0.026193213143180273,0.0023869763128401907,0.021501980618146673,0.03076341143219923,9.112957237404338,5.697655918060151e-06,0.0023869763128401907
3202,0.026876752241393093,0.002698045703219574,0.021736360320306826,0.03223092456859154,10.038585313385793,7.279450616661606e-06,0.002698045703219574
