"IDKABKOT","NAMA_KAB","est_prop","rse_prop","n","y","proporsi_R704AK2","proporsi_R704BK2","proporsi_R704CK2","proporsi_R704DK2","proporsi_R704EK2","proporsi_R704FK2","proporsi_R704GK2","proporsi_R704HK2","proporsi_R704IK2","proporsi_R704JK2","proporsi_R704KK2","proporsi_R704LK2","proporsi_R704MK2","proporsi_R705A","proporsi_R705B","proporsi_R705C","proporsi_R705D","proporsi_R705E","proporsi_R706A1","proporsi_R706A2","proporsi_R706B","proporsi_R706C","proporsi_R706D","proporsi_R805A","proporsi_R805B","proporsi_R805C","proporsi_R805D","proporsi_R805E","proporsi_R805F","proporsi_R805G","proporsi_R805H","proporsi_R805I"
"1771","BENGKULU",0.0447297380305421,22.7796558949835,2399,114,0.104477611940299,0,0,0.298507462686567,0.656716417910448,0.358208955223881,0.582089552238806,0,0.746268656716418,0,0,0.746268656716418,0.17910447761194,1,1,0,0.626865671641791,1,0.462686567164179,0.567164179104478,0.164179104477612,0.895522388059702,0.73134328358209,0.417910447761194,0.343283582089552,0.313432835820896,0.298507462686567,0.492537313432836,0.611940298507463,0.462686567164179,0,0.208955223880597
"1801","LAMPUNG BARAT",0.0221655005266788,35.2501461989418,1875,39,0.00735294117647059,0.00735294117647059,0.110294117647059,0,0.338235294117647,0.0441176470588235,0.169117647058824,0,0.845588235294118,0.404411764705882,0,0.220588235294118,0.0294117647058824,1,1,0.0588235294117647,0.779411764705882,1,0.117647058823529,0.154411764705882,0.0367647058823529,0.948529411764706,0.676470588235294,0.213235294117647,0.330882352941176,0.352941176470588,0.294117647058824,0.5,0.477941176470588,0.264705882352941,0.0147058823529412,0.0441176470588235
"1802","TANGGAMUS",0.0217954415955259,35.0811769272668,2570,52,0.00662251655629139,0,0.0596026490066225,0.0264900662251656,0.185430463576159,0.0728476821192053,0.0960264900662252,0.00662251655629139,0.69205298013245,0.231788079470199,0,0.0993377483443709,0.0364238410596026,1,0.996688741721854,0.076158940397351,0.827814569536424,1,0.0728476821192053,0.0927152317880795,0.0198675496688742,0.857615894039735,0.52317880794702,0.437086092715232,0.549668874172185,0.529801324503311,0.493377483443709,0.685430463576159,0.73841059602649,0.413907284768212,0.033112582781457,0.0728476821192053
"1803","LAMPUNG SELATAN",0.0275641209726882,32.5360488035736,2764,71,0.0192307692307692,0.00384615384615385,0.0538461538461538,0.05,0.284615384615385,0.196153846153846,0.226923076923077,0,0.892307692307692,0.561538461538462,0,0.296153846153846,0.0961538461538462,1,1,0.00769230769230769,0.657692307692308,1,0.169230769230769,0.2,0.0384615384615385,0.946153846153846,0.692307692307692,0.557692307692308,0.580769230769231,0.6,0.576923076923077,0.661538461538462,0.719230769230769,0.4,0.0423076923076923,0.0730769230769231
"1804","LAMPUNG TIMUR",0.0479960098908999,26.3217721575829,2744,98,0.0113636363636364,0.00757575757575758,0.0643939393939394,0.0871212121212121,0.325757575757576,0.159090909090909,0.329545454545455,0.071969696969697,0.901515151515151,0.962121212121212,0,0.299242424242424,0.159090909090909,1,1,0.00757575757575758,0.818181818181818,1,0.227272727272727,0.242424242424242,0.053030303030303,0.984848484848485,0.704545454545455,0.507575757575758,0.515151515151515,0.537878787878788,0.696969696969697,0.696969696969697,0.818181818181818,0.541666666666667,0.0416666666666667,0.0946969696969697
"1805","LAMPUNG TENGAH",0.0368916003216683,24.5895077216176,2878,100,0.0191082802547771,0.00636942675159236,0.035031847133758,0.0987261146496815,0.404458598726115,0.232484076433121,0.318471337579618,0,0.920382165605096,0.563694267515924,0,0.318471337579618,0.124203821656051,1,1,0,0.687898089171974,0.996815286624204,0.238853503184713,0.25796178343949,0.0764331210191083,0.961783439490446,0.789808917197452,0.509554140127389,0.595541401273885,0.633757961783439,0.627388535031847,0.707006369426752,0.805732484076433,0.525477707006369,0.0573248407643312,0.146496815286624
"1806","LAMPUNG UTARA",0.0154251705972141,38.026967425963,2565,46,0.0202429149797571,0,0.0364372469635627,0.0890688259109312,0.396761133603239,0.0890688259109312,0.125506072874494,0.0121457489878543,0.757085020242915,0.59919028340081,0,0.137651821862348,0.0890688259109312,1,1,0.0202429149797571,0.663967611336032,1,0.0890688259109312,0.11336032388664,0.0364372469635627,0.931174089068826,0.453441295546559,0.421052631578947,0.497975708502024,0.45748987854251,0.477732793522267,0.607287449392713,0.663967611336032,0.408906882591093,0.0202429149797571,0.0728744939271255
"1807","WAY KANAN",0.0484167050696644,25.0961328513078,2311,84,0.00881057268722467,0,0.0704845814977974,0.0176211453744493,0.3215859030837,0.0881057268722467,0.185022026431718,0,0.748898678414097,0.409691629955947,0,0.136563876651982,0.101321585903084,1,0.995594713656388,0.0308370044052863,0.533039647577093,1,0.136563876651982,0.171806167400881,0.0220264317180617,0.903083700440529,0.638766519823789,0.418502202643172,0.462555066079295,0.488986784140969,0.484581497797357,0.590308370044053,0.731277533039648,0.295154185022026,0.026431718061674,0.127753303964758
"1808","TULANGBAWANG",0.0292145346029541,33.7492497247137,2330,69,0.0198675496688742,0,0.0463576158940397,0.0860927152317881,0.403973509933775,0.132450331125828,0.185430463576159,0,0.933774834437086,0.56953642384106,0.00662251655629139,0.231788079470199,0.125827814569536,1,1,0.00662251655629139,0.602649006622517,1,0.172185430463576,0.19205298013245,0.0596026490066225,0.980132450331126,0.774834437086093,0.443708609271523,0.503311258278146,0.490066225165563,0.490066225165563,0.655629139072848,0.774834437086093,0.291390728476821,0.0397350993377483,0.0662251655629139
"1809","PESAWARAN",0.0404819682295574,31.5807517376609,2259,75,0.0202702702702703,0,0.0608108108108108,0.0472972972972973,0.27027027027027,0.189189189189189,0.175675675675676,0,0.878378378378378,0.371621621621622,0,0.236486486486486,0.101351351351351,1,1,0.0202702702702703,0.581081081081081,1,0.0945945945945946,0.135135135135135,0.0135135135135135,0.952702702702703,0.614864864864865,0.472972972972973,0.513513513513513,0.587837837837838,0.594594594594595,0.662162162162162,0.763513513513513,0.452702702702703,0.0202702702702703,0.0878378378378378
